scrapedAt,page,postUrl,timestampText,exactDate,reactions,comments,shares,text
2026-07-01T07:49:41.352919+00:00,TrendForce.tw,https://www.facebook.com/TrendForce.tw/posts/pfbid02xrXbqyKXJybstMpDQ832j6bfisuvuQmcDxoeHR1b5sxfDGxA7yMjX88jfjet81yJl,,,0,0,0,"【集邦聲明】針對近期冒名從事投資顧問等服務，與假冒本公司名義進行人力招募事件，
#TrendForce
 籲勿輕信以免上當受騙。"
2026-07-01T07:49:41.352919+00:00,TrendForce.tw,,,,0,0,0,"三星Computex展出HBM5原型，與SK海力士交鋒。
 新聞來源：
https://buff.ly/3cbm3gJ"
2026-07-01T07:49:41.352919+00:00,TrendForce.tw,,,,0,0,0,"SK海力士清州廠區氣體外洩，傳不影響記憶體產出。
 新聞來源：
https://buff.ly/z33jNCu"
2026-07-01T07:49:41.352919+00:00,TrendForce.tw,https://www.facebook.com/TrendForce.tw/posts/pfbid0LWzWWshqEAYUzRXN9sUhPrLCcXdsrLUsGui6k8rmDBhNKmojN99pzLyWusWdCBdEl?comment_id=991253743308927,3w,,0,0,0,"SpaceX IPO 動向受矚目！除持續擴大 Starlink 衛星寬頻版圖，更積極布局手機直連衛星、AI 太空運算及太空太陽能等新興領域。
 
#TrendForce
 解析太空經濟新成長週期：
https://buff.ly/eCjAFOE"
2026-07-01T07:49:41.352919+00:00,TrendForce.tw,,,,0,0,0,"AI Inference 應用的晶片新創起跑
CIM、晶圓級整合、SRAM-First 多路技術並進，各路架構的勝出條件為何？看詳情
 
https://buff.ly/Ejw0KaS
… 
See more"
2026-07-01T07:53:06.370485+00:00,TrendForce.tw,,,,0,0,0,"Amazon 與 Corning 達成數十億美元協議 供應美國數據中心光纖。
 新聞來源：
https://buff.ly/mJyAOiv"
2026-07-01T07:53:06.370485+00:00,TrendForce.tw,,,,0,0,0,"AI Agent 服務普及，Enterprise SSD 正轉型為支援運算的全新角色。面對嚴峻的供需失衡，供應商如何藉由高層數 QLC 技術，打造高成本效益的 DRAM 替代方案？
#TrendForce
 分析 Enterprise SSD 品牌廠商策略布局：
https://buff.ly/6xDyJJr"
2026-07-01T07:53:06.370485+00:00,TrendForce.tw,,,,0,0,0,"AI server 迅速崛起為 LPDRAM 新主場，需求動能不再侷限於智慧手機。當供給僅能滿足 NVIDIA 約六成需求，次世代硬體規格將如何因應調整？TrendForce 分析智慧手機與 AI 伺服器對 LPDRAM 消耗量變化。
https://buff.ly/HCGjaUi"
2026-07-01T07:53:06.370485+00:00,TrendForce.tw,https://www.facebook.com/TrendForce.tw/posts/pfbid026WU6yoaSixxuZFV3PohHjywsbSj2MZJmMJUyxtZyZtCZGWrZM6Um1uUjVxfGgqgKl?comment_id=1037254255544295,3w,,1 reaction; see who reacted to this,0,0,"【2Q合約價上漲帶動，NAND現貨價止跌回穩 】… 
See more"
2026-07-01T07:58:49.425211+00:00,TrendForce.tw,https://www.facebook.com/TrendForce.tw/posts/pfbid0GCFDbYqHh9MVpoCMpQFtpSVPHJfLgdth5fns7VcXnjPhJxksCdazmEQ1t7PAcmHxl?comment_id=974401645364091,5w,,0,0,0,"Micron 維吉尼亞州 Fab 6 投產 1α nm 製程 LPDDR4 與 DDR4！新策略將如何影響記憶體市場版圖？
 
#TrendForce
 解析美光背後產能配置調整：
https://buff.ly/5rchDor
 
 
#半導體
 
#DRAM
 
#HBM"
2026-07-01T07:58:49.425211+00:00,TrendForce.tw,https://www.facebook.com/TrendForce.tw/posts/pfbid0Y9N8maqFkMutPujQgx6FbrW8q6eGRhzF7ftsfjgxm6btx8N61JNrEFubhJsAym2il?comment_id=1024850953222936,5w,,1 reaction; see who reacted to this,0,0,"Enterprise SSD 需求呈幾何倍數成長！CSP 為建置 AI 伺服器大舉採購，加上 HDD 結構性缺貨加速轉單效應。
 
#TrendForce
 解析全年恐維持供給吃緊與高價態勢：
https://buff.ly/os9Sy0H
 
 
#Samsung
 
#SKhynix
 
#Kioxia
 
#Micron
 
#SanDisk
 
#記憶體"
2026-07-01T07:58:49.425211+00:00,TrendForce.tw,,,,0,0,0,"AI 密度帶來的熱挑戰，正在重塑資料中心架構！… 
See more"
2026-07-01T08:09:58.949611+00:00,TrendForce.tw,https://www.facebook.com/TrendForce.tw/posts/pfbid02vCsQEpQd6RNigHy8hWyHwauwenW54ekDx2uRHpFthyTnVJB8TC8jfkDLVSHBxcv5l?comment_id=2191412308383067,16m,,0,0,0,"【NAND現貨走弱，供應商降價仍難提振需求；512Gb TLC晶圓跌1.03%】
…
 
See more"
